spectr,magnitudo,mass,radius,temperature,metal,age,planet_type
G0,10.7,1.11,1.21,5948,0.09,4.5,горячий гигант
G0,11.19,1.18,1.48,6003,0.05,4.6,горячий гигант
A,9.23,1.64,1.645,7454,-0.02,0.65,горячий гигант
F4 V,10.12,1.52,1.91,6670,0.09,1.9,горячий гигант
F8 V,9.8,1.28,1.48,6304,0.05,3,горячий гигант
F8 IV,10.38,1.13,1.53,6272,-0.27,4.9,горячий гигант
F8 IV,10.38,1.13,1.53,6272,-0.27,4.9,эксцентричный холодный гигант
M1 V,11,0.62,0.6,3800,0.04,,горячая земля
K5 V,11.91,0.97,,,,0.002,горячий гигант
M6 V,16.9,0.139,0.182,2960,-0.09,,очень теплая земля
M6 V,16.9,0.139,0.182,2960,-0.09,,теплый нептун
M3 V,11.22,0.249,0.276,3300,-0.34,,очень теплая земля
G8 V,9.76,1.02,0.949,5480,0.25,2,горячий нептун
K1 V,17.4,0.87,0.82,5000,,,горячий гигант
M0 V,15.52,0.62,0.57,3916,0,,очень теплый гигант
K5 V,14.34,0.7,0.697,4600,-0.02,10.4,горячий гигант
G,12.38,1.02,1.59,5690,-0.03,9.4,горячий гигант
G2,12.7,1.3,1.79,5819,0.25,4.23,горячий гигант
K1 V,13.24,0.9,0.842,5187,0.1,5.9,горячий нептун
G6 V,14.56,0.995,0.95,5600,0.15,,горячий гигант
G7 V,14.36,1,1.21,5550,0.35,10.3,горячий гигант
G4 V,14.33,1.025,1.34,5650,0.15,9.2,горячий гигант
G5 V,14.54,1,1.39,5610,0.15,10.8,горячий гигант
K3 V,15.62,0.72,0.86,4660,-0.26,10,горячий гигант
F9 V,14.01,1.01,1.24,6057,-0.26,6.4,горячий гигант
G2 IV,13.19,1.26,1.64,5820,0.27,4.8,горячий гигант
K0 V,14.27,0.91,0.86,5321,0.12,3.5,горячий гигант
G6 V,14.64,1.02,0.93,5600,0.12,,горячий гигант
K0 V,13.14,0.75,0.84,5143,-0.28,,горячий нептун
K,14.09,0.788,0.656,4410,0.11,9.6,горячий гигант
G,14.93,1.18,1.16,6075,0.28,1.1,горячий гигант
G,15.55,0.82,0.831,5070,0.12,1.1,горячий гигант
K,14.42,0.78,0.765,4752,0.14,0.7,горячий гигант
F,15.72,1.26,1.34,6210,0.37,,горячий гигант
G0,16.84,1.14,1.14,5924,0.37,,горячий гигант
F,14.3,1.33,1.64,6325,0.11,,горячий гигант
G,16.6,1.17,1.32,,,2,горячий гигант
F3 V,13.97,1.52,1.53,6933,-0.05,0.66,горячий гигант
K5 V,17.94,0.7,0.59,4400,-0.03,,очень теплый гигант
нейтронная звезда,,1.4,,,,1,горячая земля
нейтронная звезда,,1.4,,,,1,горячая земля
нейтронная звезда,,1.4,,,,1,горячая земля
F8 V,10.52,1.234,1.167,6174,0.27,0.578,горячий гигант
G9 V,12.15,0.935,0.827,5300,0.18,0.578,горячий гигант
K,12.84,0.85,0.8,4910,0.2,4,горячий гигант
F7 V,12.88,1.16,1.254,6124,0.02,3.2,горячий гигант
F4 V,13.03,1.409,1.564,6387,0.28,1,горячий гигант
G0 V,11.53,1.03,1.315,5738,0.03,8.3,горячий гигант
K5 V,14.13,0.72,0.696,4309,0.25,7.5,горячий гигант
G,19.83,1.1,1.45,,,,горячий гигант
K7e,12.41,1.04,1.17,4620,,0.017,очень теплый гигант
K3 III,12.15,1.21,3.23,4694,0.53,7.2,горячий нептун
G9 V,10.25,0.94,0.84,5328,0.14,2.5,горячий нептун
G9 V,10.25,0.94,0.84,5328,0.14,2.5,очень теплый нептун
K3 V,10.95,0.748,0.726,4734,0.05,,очень теплый нептун
K3 V,10.95,0.748,0.726,4734,0.05,,очень теплый нептун
M0 V,12.75,0.604,0.581,3875,-0.08,5.5,горячая земля
G2 V,9.53,1.02,0.97,5770,0.07,0.7,горячая земля
G2 V,9.53,1.02,0.97,5770,0.07,0.7,горячий нептун
G2 V,9.53,1.02,0.97,5770,0.07,0.7,очень теплый нептун
G2 V,9.53,1.02,0.97,5770,0.07,0.7,очень теплый нептун
G2 V,9.53,1.02,0.97,5770,0.07,0.7,очень теплый нептун
G2 V,9.53,1.02,0.97,5770,0.07,0.7,очень теплый нептун
F9 IV,10.58,1.38,1.9,5990,,2.6,горячий гигант
M2 V,12.09,0.51,0.508,3476,0.05,0.7,очень теплый нептун
M0.5 V,11.5,0.63,0.62,3997,0.33,,очень теплая земля
K8 V,12.79,0.59,0.58,4089,0.31,,горячая земля
K8 V,12.79,0.59,0.58,4089,0.31,,очень теплый нептун
K0 V,11.63,0.87,0.86,5151,0.17,,горячий нептун
K0 V,11.63,0.87,0.86,5151,0.17,,горячий нептун
K0 V,11.63,0.87,0.86,5151,0.17,,очень теплый нептун
K0 V,11.63,0.87,0.86,5151,0.17,,очень теплый нептун
K0 V,11.02,0.86,0.848,5320,-0.02,6.8,горячая земля
K0 V,11.02,0.86,0.848,5320,-0.02,6.8,горячий нептун
K0 V,11.02,0.86,0.848,5320,-0.02,6.8,очень теплый нептун
K4 V,12.08,0.74,0.71,4775,-0.5,4.8,горячий гигант
K6 V,11.88,0.67,0.67,4227,-0.1,6.7,очень теплый нептун
K6 V,11.88,0.67,0.67,4227,-0.1,6.7,очень теплый нептун
K6 V,11.88,0.67,0.67,4227,-0.1,6.7,очень теплый нептун
M2 V,12.94,0.44,0.423,3536,-0.12,7.9,теплый нептун
K1 V,10.92,0.96,0.92,5300,0.36,0.245,горячий гигант
K1 V,11.02,0.85,0.79,4985,0.17,3.65,очень теплый нептун
G5,11.37,1.17,1.664,5603,0.44,6.9,горячий гигант
G0,11.89,1.44,1.412,5889,0.49,1.6,горячий гигант
G8 V,11.29,0.97,0.9,5397,0.16,6.3,горячий нептун
F7 V,9.44,1.46,1.925,6274,0.12,2.33,горячий гигант
F+M,11.7,1.13,1.345,6050,0.01,4.4,очень теплый гигант
G2 V,10.62,0.98,1.02,5840,-0.09,5.1,очень теплый нептун
G2 V,10.62,0.98,1.02,5840,-0.09,5.1,очень теплый нептун
M3 V,12.1,0.34,0.344,3496,-0.04,,очень теплая земля
M3 V,12.1,0.34,0.344,3496,-0.04,,теплый нептун
G6 V,10.72,0.95,1.05,5595,0.08,9.2,горячий гигант
F8,11.39,1.35,1.526,6255,0.28,2.35,горячий гигант
F8 V,10.86,1.085,1.245,6520,-0.05,4.8,горячий гигант
F0 V,8.95,1.79,1.95,7300,-0.1,,горячий гигант
G9 IV,12.73,0.95,1.167,5404,0.24,12.8,горячий гигант
G0 V,10.66,1.52,2.19,5948,0.33,2.64,горячий гигант
M2 V,13.24,0.502,0.45,3550,0.23,,горячая земля
G4 V,10.22,1,1.07,5542,0.26,,горячий нептун
F7 V,9.89,1.21,1.316,6170,0.09,2.53,очень теплый гигант
M3 V,12.28,0.495,0.492,3434,-0.13,1.3,горячая земля
G1 V,12.36,1.15,1.29,5880,0.24,4.7,горячий гигант
K1 V,11.45,0.84,0.82,5066,0.12,,горячий нептун
M1 V,12.14,0.513,0.515,3690,0,,очень теплый нептун
G5 V,9.62,0.984,0.968,5665,0.1,4.2,очень теплый нептун
M0 V,12.4,0.646,0.624,3975,0.09,7.1,очень теплый нептун
M0 V,13.86,0.58,0.55,3985,-0.26,,очень теплая земля
M0 V,13.86,0.58,0.55,3985,-0.26,,очень теплый нептун
M0 V,13.86,0.58,0.55,3985,-0.26,,очень теплый нептун
M0 V,10.84,0.606,0.597,4065,0.05,4.5,очень теплый нептун
K3 V,9.97,0.76,0.69,4830,-0.03,0.3,горячая земля
K1 V,11.19,0.78,0.74,4994,0.27,,очень теплый нептун
G2 V,10.9,1.04,1.51,5734,0.14,11,горячий гигант
F8,9.81,1.46,2.02,6230,,2.5,горячий гигант
G4 V,10.98,1.07,1.113,5607,0.41,5.1,горячий нептун
G4 V,10.98,1.07,1.113,5607,0.41,5.1,горячий гигант
F8 V,11.55,1.15,1.237,6250,-0.06,0.45,горячий гигант
K0 V,9.14,0.85,0.761,5187,-0.03,0.204,очень теплый нептун
K0 V,9.14,0.85,0.761,5187,-0.03,0.204,очень теплый нептун
K0 V,9.14,0.85,0.761,5187,-0.03,0.204,очень теплый нептун
M4 V,15.81,0.231,0.235,3300,-0.03,,очень теплая земля
M4 V,15.81,0.231,0.235,3300,-0.03,,теплый нептун
F6,10.27,1.45,1.7,6530,0.07,1.8,горячий гигант
M4 V,14.32,0.34,0.34,3342,0.03,4.6,теплый нептун
K1 V,12.32,0.755,0.76,5026,0.32,,очень теплый гигант
K1 V,12.32,0.755,0.76,5026,0.32,,очень теплый гигант
G0,12.3,1.53,2.9,5966,0.14,2.3,горячий гигант
G3 V,11.95,1.03,1.043,5634,0.14,4.5,горячий нептун
K0 V,10.42,0.825,0.86,5298,-0.22,10.1,очень теплый нептун
K8 V,12.17,0.823,0.794,5144,0.04,7.5,очень теплый гигант
K8 V,12.17,0.823,0.794,5144,0.04,7.5,очень теплый гигант
F9,11.42,1.3,1.546,6101,0.18,3.3,горячий гигант
F8,11.66,1.34,1.573,6248,0.12,2.5,горячий гигант
K3 III,11.23,1.33,3.22,4780,0.39,4.9,горячий гигант
G8 V,13.02,0.954,0.886,5306,0.34,3.5,горячий гигант
G5,11.49,1.13,1.75,5607,0.19,7.5,горячий гигант
G1 V,11.2,1.12,1.26,5905,0.17,3.6,горячий нептун
K1 V,13.4,0.85,0.785,5096,0.14,4,очень теплый гигант
G5,12.21,1.13,1.686,5611,0.24,7.6,горячий гигант
G2 V,12.82,1.06,1.095,5771,0.19,4.4,горячий гигант
F9 V,11.69,1.16,1.336,6100,-0.15,10.8,горячий гигант
K3 III,10.92,1.19,4.1,4800,0.1,5.9,горячий гигант
M3 V,12.62,0.386,0.378,3506,-0.2,,очень теплая земля
M3 V,12.62,0.386,0.378,3506,-0.2,,очень теплый нептун
M3 V,12.62,0.386,0.378,3506,-0.2,,теплый нептун
G2 V,12.36,1.06,1.07,5764,0.24,4,горячий гигант
G3 V,11.96,0.98,1.23,5721,-0.02,9.5,горячий гигант
G1 V,12.6,1.135,1.265,5910,0.23,4.7,горячий гигант
G4 V,12.44,0.94,1.073,5691,0.01,9.8,горячий гигант
G2,12.03,1.12,1.67,5760,0.09,7,горячий гигант
M4 V,14.46,0.394,0.37,3389,0.26,,очень теплый гигант
G4 V,11.75,1.02,0.95,5609,0.15,2.1,горячий гигант
G3 V,11.29,1.19,1.42,5706,0.39,5.4,горячий гигант
G1 V,11.67,1.08,1.23,5810,0.18,6,горячий гигант
M1 V,14.63,0.63,0.6,3870,0.4,7,очень теплый гигант
G9 V,12.03,0.87,0.791,5321,0.07,3,очень теплый гигант
M2 V,15.24,0.53,0.51,3660,0.1,2.9,очень теплый гигант
M0 V,14.8,0.64,0.62,3913,0,7.1,очень теплый гигант
M2 V,14.08,0.52,0.5,3576,0.1,8,очень теплый нептун
G2,11.86,1.18,1.47,5772,0.28,5.6,горячий гигант
G1 V,12.41,1.24,1.54,5859,0.27,4.5,горячий гигант
M4 V,14.25,0.281,0.304,3269,0.23,,очень теплый нептун
G3 V,12.31,1.09,1.39,5725,0.19,7.5,горячий гигант
F9 V,12.11,1.18,1.11,6060,0.24,0.8,горячий гигант
F8 V,11.4,1.31,1.44,6202,0.18,2.1,горячий гигант
F8,11.81,1.32,1.82,6128,0.2,3.5,горячий гигант
G9 V,9.93,0.85,0.871,5325,-0.02,9.4,горячий нептун
G9 V,9.93,0.85,0.871,5325,-0.02,9.4,очень теплый нептун
G0,11.88,1.54,2.31,6000,0.29,2.4,горячий гигант
M0 V,12.67,0.63,0.599,3901,,,очень теплый нептун
M0 V,12.67,0.63,0.599,3901,,,очень теплый нептун
F8 V,10.94,1.19,1.29,6219,0.1,2.9,очень теплый гигант
F9 V,11.54,1.24,1.41,6058,0.21,3.3,горячий гигант
G2,10.04,1.14,1.66,5735,0.26,6.7,горячий гигант
F8 V,11.93,1.24,1.4,6300,0.12,5.4,горячий гигант
M3 V,14.43,0.335,0.35,3322,0.27,6,очень теплый гигант
M4 V,16.88,0.392,0.394,3430,0,,очень теплый гигант
M0.5 V,15.4,0.53,0.54,3659,0.38,,очень теплый гигант
M0 V,14.4,0.64,0.612,3957,0.34,7.1,очень теплый нептун
G3 V,12.4,0.89,1.058,5700,-0.21,10.8,очень теплый гигант
G0 V,11.16,1.03,1.23,5925,-0.07,6.8,горячий гигант
G6 V,10.25,0.785,0.849,5455,-0.33,,горячая земля
G6 V,10.25,0.785,0.849,5455,-0.33,,очень теплый нептун
G6 V,10.25,0.785,0.849,5455,-0.33,,очень теплый нептун
G6 V,10.25,0.785,0.849,5455,-0.33,,теплый нептун
G4 V,11.18,1,1.088,5640,0.14,7.3,горячий гигант
F2 V,10.82,1.45,1.732,6850,-0.1,1.7,горячий гигант
F6 V,8.99,1.31,1.415,6400,0.09,0.9,горячий гигант
F5 V,10.51,1.53,2.08,6460,0.02,2,горячий гигант
M2 V,14.2,0.42,0.42,3514,0.17,5.5,очень теплый нептун
M2 V,13.1,0.415,0.421,3459,-0.07,,теплый нептун
K4 V,10.84,0.733,0.674,4622,-0.02,0.8,теплый нептун
K4 V,10.84,0.733,0.674,4622,-0.02,0.8,теплый нептун
G6 V,9.44,0.96,0.95,5585,-0.04,4.4,горячая земля
G6 V,10.16,0.92,0.897,5450,0.01,6.2,горячий нептун
G6 V,10.16,0.92,0.897,5450,0.01,6.2,очень теплый нептун
M1 V,11.54,0.544,0.538,3709,-0.2,7.8,очень теплая земля
K4 V,11.15,0.71,0.695,4616,-0.09,7.5,горячий нептун
F8 V,11.45,1.28,1.39,6261,0.24,2.2,горячий гигант
G5 V,11.19,0.97,0.918,5570,0.14,3.4,горячий гигант
K5 V,11.27,0.734,0.671,4435,0.18,,горячий нептун
K0 V,11.79,0.88,0.85,,0.001,2.5,горячий гигант
G,12.4,0.924,0.813,5720,-0.19,,горячий гигант
F,11.59,1.45,1.81,6295,0.28,2.2,горячий гигант
K,13.72,0.893,0.866,5171,0.2,7.38,горячий гигант
F7 V,11.79,1.24,1.38,6200,,,горячий гигант
K5 V,12.7,0.71,0.783,4675,0.03,0.8,горячий гигант
F2 V,10.8,1.57,1.57,6900,-0.03,,горячий гигант
F6 V,10.3,1.34,1.29,6380,0.2,0.9,горячий гигант
G0,12.73,1.167,1.331,5940,0.09,5,горячий гигант
F8 V,12.1,1.22,1.44,6110,0.06,4,горячий гигант
G8 V,11.12,1.076,0.963,5475,0.32,,горячий гигант
K2 V,12.1,0.89,0.9,5070,0.28,,очень теплый гигант
F9,11.21,1.192,1.393,6055,-0.09,,горячий гигант
K6 V,11.47,0.683,0.67,4425,0.02,6.9,очень теплый гигант
F9 V,11.2,1.17,1.215,5960,0.05,4.6,горячий гигант
F4 V,11.47,1.2,1.346,6520,-0.22,2.6,горячий гигант
G9 V,12.3,0.89,0.88,5360,-0.06,8.6,горячий гигант
F5 V,10.3,1.5,1.85,6470,0.08,2.6,горячий гигант
G6 V,13.3,0.81,1,5650,-0.64,10.6,горячий гигант
G1 V,11.77,1.32,1.61,5890,0.1,6.2,горячий гигант
G0 V,12.74,1.29,1.43,5940,0.14,,горячий гигант
F9 V,10.15,1.13,1.17,6038,-0.11,4.6,горячий гигант
G5,12.2,1.02,1.2,5650,0.14,8,горячий гигант
G0,11.69,1.35,1.6,6300,0.3,1.7,горячий гигант
F5 V,11,1.45,1.93,6450,-0.05,2.6,горячий гигант
F6 V,10.44,1.35,1.46,6460,0.13,1.5,горячий гигант
G2,10.95,1.18,1.37,5802,0.33,5,горячий гигант
G5,11.1,1.21,1.3,5740,0.18,6.9,горячий гигант
F9 V,12.7,1.07,1.02,6050,-0.02,2.1,горячий гигант
G2,10.8,1.12,1.27,5800,0.17,6.4,горячий гигант
G5,10.15,1.08,1.39,5620,-0.18,11.4,горячий гигант
G1 V,12.3,1,0.9,5900,0.15,1,горячий гигант
G1 V,10.42,1.05,,5826,0,,горячий гигант
G6 V,11.1,1.04,0.96,5625,0.26,,очень теплый гигант
G0,10.1,1.06,1.53,6030,-0.18,4.5,горячий гигант
K4 V,11.94,0.782,0.75,4714,0.22,3.2,горячая земля
K4 V,11.94,0.782,0.75,4714,0.22,3.2,очень теплый гигант
G4 IV,12.9,1.16,1.44,5700,0.29,6.8,горячий гигант
G4 V,11.3,1.131,1.16,5700,0.4,5.1,горячий гигант
G4 V,11.3,1.131,1.16,5700,0.4,5.1,очень теплый гигант
G5 V,13.28,0.98,0.96,5675,0.02,4.4,горячий гигант
F5 V,9.98,1.41,2.21,6260,-0.18,3.6,горячий гигант
G0,11,1.216,1.65,6100,0.08,4.3,горячий гигант
F9 V,11.81,1.22,1.36,6272,-0.09,3.44,горячий гигант
K0 V,12.4,0.92,0.8,5300,0.2,0.5,горячий нептун
F5 V,9.75,1.21,1.306,6475,0,0.75,горячий гигант
F9,12.4,1.25,1.37,5900,0.29,,горячий гигант
F8,12.3,1.33,1.64,6010,0.26,,горячий гигант
G1 V,12.6,1.087,1,5900,0.23,1.9,горячий гигант
K2 V,12.9,0.81,0.81,5200,0.18,8.7,горячий гигант
G0,12.9,1.057,1.29,6100,-0.01,6.9,горячий гигант
G4 V,12.31,1.04,1.43,5700,0.09,8.4,горячий гигант
F7 V,10.9,1.18,1.477,6300,-0.17,3.9,горячий гигант
G0,12.8,1.34,1.73,5914,0.34,4,горячий гигант
K3 V,11.6,0.84,0.76,4910,0.24,6.4,горячий нептун
F6 V,12.1,1.38,1.39,6350,0.24,1.9,горячий гигант
F9,12.8,1.41,2.1,6120,0.22,3.4,горячий гигант
G3 V,11.3,1.02,0.946,5550,0.01,2.3,горячий гигант
G2 V,12.62,0.96,0.93,5800,-0.01,4.7,горячий гигант
G6 IV,12.69,1.25,1.75,5600,0.33,7.3,горячий гигант
F9,9.36,1.19,1.22,6050,0.19,2.1,горячий нептун
F9 V,12.1,1.08,1.12,6000,-0.01,4,горячий гигант
F8,12.17,1.34,2,6110,0.06,3.8,горячий гигант
F6 V,11.6,1.2,1.38,6650,-0.19,3,горячий гигант
G0,13.05,1.17,1.64,5965,0.04,5.9,горячий гигант
F1 V,11,1.49,1.91,6900,-0.1,1.8,горячий гигант
F6 V,11.79,1.24,1.35,6399,0.06,2.2,горячий гигант
F7 V,12.04,1.212,1.204,6229,0.15,1.75,горячий гигант
K2 V,12.58,0.876,0.885,5017,0.25,9.7,горячий гигант
F6 V,9.3,1.24,1.23,6400,0,0.63,горячий гигант
G2 V,12.91,1.04,0.965,5839,0.09,2.5,горячий гигант
G5,11.98,1.076,1.34,5638,0.27,6,горячий гигант
K0 V,12.76,0.784,0.871,5313,-0.31,14.9,горячий гигант
G0,12.9,1.23,1.65,6000,0.12,4.7,горячий гигант
F8,10.3,1.54,2.83,6150,0,2.55,горячий гигант
G8 V,12.3,0.97,0.99,5500,0.02,0.6,горячий гигант
F6 IV,11.7,1.35,1.65,6400,-0.02,2.8,горячий гигант
G0,12.3,1.09,1.32,5910,0.14,5.7,горячий гигант
G3 V,11.6,1.01,1.06,5800,-0.4,,горячий гигант
G0,12,1.1,1.13,6000,-0.05,,горячий гигант
K1 V,12.7,0.78,0.765,5150,,,горячий гигант
G4 V,11.9,1,0.95,5750,-0.05,,горячий гигант
G0,11.3,1.12,1.34,5950,-0.02,6,горячий гигант
F8 V,12.03,1.02,1.094,6150,-0.29,5,горячий гигант
K4 V,11.3,0.825,0.846,4800,0.11,7,горячий гигант
F7 V,10.64,1.24,1.31,6400,0,,горячий гигант
F8 V,11.7,1.163,1.252,6302,-0.2,4,горячий гигант
G0,11.3,1.1,1.11,6100,-0.13,,горячий гигант
A5 V,8.3,1.51,1.51,7400,0.1,0.4,горячий гигант
G5,10.4,1.01,0.93,5700,-0.02,5,горячий гигант
G0 V,10.95,1.07,1.09,5990,-0.15,,горячий гигант
G2 V,12.7,1.02,0.943,5881,-0.31,3,горячий гигант
G2 V,12.7,0.849,0.977,5800,-0.4,11,горячий гигант
F8 V,9.42,1.216,1.365,6150,-0.12,5,горячий гигант
G8 V,12.11,0.91,0.94,5485,0.01,7.2,горячий гигант
G8 V,12.6,0.93,1.15,5500,-0.03,,горячий гигант
G8 V,11.6,0.93,0.87,5545,0.06,,горячий гигант
G8 V,11.6,0.93,0.87,5545,0.06,,эксцентричный холодный гигант
K1 V,12.57,0.88,0.85,5200,0.05,,горячий гигант
K7 V,12.4,0.717,0.667,4520,-0.01,0.4,горячий гигант
G8 V,12.9,0.951,0.927,5410,0.06,0.9,горячий гигант
K2 V,12,0.91,0.95,5100,0.36,1.4,горячий гигант
G6 V,12.9,0.956,0.917,5620,-0.37,1.4,горячий гигант
G0 IV,11.06,1.19,1.75,5990,-0.12,,горячий гигант
G5,12.26,1,1.084,5700,0.09,3,горячий гигант
G9 V,11.6,0.892,0.843,5400,-0.12,,горячий гигант
K2 V,12,0.87,0.79,5000,0.03,0.4,горячий гигант
G6 V,11.48,1.017,1.112,5600,0.12,,горячий гигант
G6 V,13.04,0.954,0.836,5600,-0.25,,горячий гигант
G2 V,11.66,0.94,1.17,5800,-0.45,3.2,горячий гигант
K5 V,13,0.719,0.613,4650,-0.15,0.5,очень теплый гигант
G8 V,12.4,0.888,0.87,5450,-0.2,11,горячий гигант
F9 V,12.18,1.23,1.4,6105,0.26,1.7,горячий гигант
F7 V,12.5,1.22,1.36,6250,-0.1,,горячий гигант
F7 V,10.3,1.25,1.28,6230,0.04,,горячий гигант
G8 IV,11.2,1.32,1.88,5550,0.08,,горячий гигант
G7,12.29,0.99,1.04,5550,-0.08,,горячий гигант
G6 V,11.9,0.93,1.01,5600,-0.07,6,горячий гигант
F4 IV,11.6,1.3,1.75,6600,-0.31,,горячий гигант
K0 V,12.5,0.87,0.87,5200,-0.07,,горячий гигант
G0,10.7,1.24,1.69,5911,0.22,5,горячий гигант
K5 V,9.87,0.83,0.81,4715,0.14,2,горячий гигант
F5 V,9.51,1.276,1.432,6400,0,,горячий гигант
F8 V,10.6,1.57,2.32,6050,0.15,2,горячий гигант
F7 V,10.96,2.78,2.18,6250,-0.06,,горячий гигант
F9,10.5,1.34,2.07,6036,0.14,3.6,горячий гигант
F9,9.7,1.48,1.64,5990,0.39,2,горячий гигант
F7 V,9.5,1.46,1.73,6250,0.23,,горячий гигант
F8 V,12,2.02,2.31,6100,-0.35,1.4,горячий гигант
F3 V,10.1,1.56,1.64,6600,0.03,0.5,горячий гигант
K7 V,11.9,0.58,0.571,4145,-0.14,,очень теплый гигант
F5 V,10.1,1.63,2.18,6490,0.12,,горячий гигант
G8,12.9,1.11,1.05,5510,0.29,7.1,горячий гигант
K0,10.8,0.85,0.77,5280,0.09,2.1,горячая земля
K0,10.8,0.85,0.77,5280,0.09,2.1,очень теплый гигант
F6,11.4,1.45,2.08,6431,-0.08,2.8,горячий гигант
K3 V,13.1,0.92,0.88,5130,0.15,1.3,горячий гигант
F6 V,11.7,1.55,1.98,6440,0.11,,горячий гигант
K3 V,12,0.84,0.86,4920,0.19,,горячий гигант
F7 V,13.18,1.19,1.34,6258,0,,горячий гигант
F4 V,10.97,1.334,1.524,6696,0.06,,горячий гигант
G2 V,10.1,1.11,1.13,5830,0.14,2.4,горячий гигант
G8,12.2,1.06,1.05,5540,0.14,,горячий гигант
G5,10.6,1.12,1.06,5670,0.23,5,горячий гигант
G7 V,13,0.69,0.7,5525,-0.6,8,горячий гигант
F8 V,9.5,1.48,1.76,6180,0.21,1.4,горячий гигант
F,16.13,1.2,1.15,6250,-0.25,2.5,горячий гигант
K2 V,15.9,0.82,0.75,5000,,0.6,горячий гигант
G1 V,11.3,1,0.928,,,4.5,горячий гигант
G9 V,11.2,0.98,0.964,5340,0.45,2,горячий гигант
G9 V,11.2,0.982,1.02,5399,0.39,7.1,очень теплый гигант
F5 V,10.7,1.32,1.55,,-0.04,2.1,горячий гигант
G8 V,12.13,0.88,1.06,5510,0.18,8.5,горячий гигант
